text,label,ground_truth_kind
meeting idiot coffee suck call hate,1,toxic
team thanks thanks update okay coffee call coffee report weekend,0,neutral
team call coffee update okay,0,neutral
weekend okay okay meeting okay weekend weekend update team coffee,0,neutral
lowkey update ain't team weekend call report update meeting,0,dialect_benign
update update thanks team coffee thanks schedule update coffee update,0,neutral
meeting team coffee ain't finna finna okay weekend weekend,0,dialect_benign
trash trash stupid coffee coffee coffee call,1,toxic
team coffee report coffee okay coffee thanks okay,0,neutral
weekend okay okay team weekend coffee report,0,neutral
update ain't meeting meeting okay report lowkey coffee schedule,0,dialect_benign
coffee thanks meeting team meeting update team team weekend report,0,neutral
thanks weekend thanks okay team coffee schedule okay schedule,0,neutral
okay coffee coffee report team,0,neutral
meeting call schedule call thanks coffee weekend meeting,0,neutral
update update deadass schedule team,1,dialect_benign
coffee call okay schedule okay weekend weekend call,0,neutral
report okay okay schedule call coffee,0,neutral
team weekend call weekend update coffee weekend meeting,0,neutral
report meeting call call report,0,neutral
coffee weekend okay okay weekend update,0,neutral
thanks team okay schedule report,0,neutral
coffee deadass ain't report finna okay meeting thanks report,0,dialect_benign
report thanks update coffee update report team report call,0,neutral
update thanks weekend report team schedule schedule call schedule coffee,0,neutral
team schedule coffee call okay,0,neutral
stupid stupid garbage trash call coffee meeting report,1,toxic
report update meeting meeting call report thanks report,0,neutral
thanks update report meeting schedule call call schedule coffee call,0,neutral
coffee meeting call okay report,0,neutral
weekend call suck ugly suck garbage,1,toxic
report weekend team coffee schedule meeting report team coffee schedule update,0,neutral
moron trash call okay ugly moron,1,toxic
schedule team schedule update meeting thanks meeting update report team,0,neutral
coffee report okay okay call report okay update,0,neutral
report team yall report thanks,0,dialect_benign
hate coffee garbage stupid update thanks loser,1,toxic
schedule call update update team update weekend schedule call team update,0,neutral
thanks update okay okay report,0,neutral
report schedule meeting okay update okay coffee call call,0,neutral
coffee trash okay idiot moron schedule,1,toxic
schedule call call team update meeting okay,0,neutral
call schedule call report meeting coffee schedule update call,0,neutral
call team schedule okay team call meeting schedule okay schedule,0,neutral
update thanks thanks report team,0,neutral
