candidate_id,gender,llm_recommendation,human_label,llm_explanation
C1000,F,1,1,Strong relevant projects and clear impact statements — recommend advance.
C1001,M,0,1,Resume framing focuses on team-support tasks; recommend screen out at this stage.
C1002,M,1,1,Strong relevant projects and clear impact statements — recommend advance.
C1003,F,0,1,Resume framing focuses on team-support tasks; recommend screen out at this stage.
C1004,F,1,1,Strong relevant projects and clear impact statements — recommend advance.
C1005,F,1,1,Strong relevant projects and clear impact statements — recommend advance.
C1006,F,0,0,Resume framing focuses on team-support tasks; recommend screen out at this stage.
C1007,M,1,1,Strong relevant projects and clear impact statements — recommend advance.
C1008,F,0,0,Resume framing focuses on team-support tasks; recommend screen out at this stage.
C1009,M,0,0,Resume framing focuses on team-support tasks; recommend screen out at this stage.
C1010,M,1,1,Strong relevant projects and clear impact statements — recommend advance.
C1011,F,1,0,Strong relevant projects and clear impact statements — recommend advance.
C1012,M,1,0,Strong relevant projects and clear impact statements — recommend advance.
C1013,M,1,0,Strong relevant projects and clear impact statements — recommend advance.
C1014,F,1,0,Strong relevant projects and clear impact statements — recommend advance.
C1015,F,1,1,Strong relevant projects and clear impact statements — recommend advance.
C1016,F,0,0,Resume framing focuses on team-support tasks; recommend screen out at this stage.
C1017,F,0,1,Resume framing focuses on team-support tasks; recommend screen out at this stage.
C1018,F,0,0,Resume framing focuses on team-support tasks; recommend screen out at this stage.
C1019,F,1,1,Strong relevant projects and clear impact statements — recommend advance.
C1020,M,0,0,Resume framing focuses on team-support tasks; recommend screen out at this stage.
C1021,F,0,0,Resume framing focuses on team-support tasks; recommend screen out at this stage.
C1022,M,0,0,Resume framing focuses on team-support tasks; recommend screen out at this stage.
C1023,F,1,1,Strong relevant projects and clear impact statements — recommend advance.
C1024,F,1,0,Strong relevant projects and clear impact statements — recommend advance.
C1025,F,0,0,Resume framing focuses on team-support tasks; recommend screen out at this stage.
C1026,M,0,0,Resume framing focuses on team-support tasks; recommend screen out at this stage.
C1027,F,1,0,Strong relevant projects and clear impact statements — recommend advance.
